list-none-none,1,10,1,30,150853,5028
list-none-none,1,100,1,300,141649,472
list-none-none,1,1000,1,3000,3874931,1291
list-none-none,1,10000,1,30000,636467283,21215
list-none-none,1,20000,1,60000,3229105042,53818
list-none-none,2,1,1,6,132434,22072
list-none-none,2,2,1,12,128160,10680
list-none-none,2,4,1,24,131473,5478
list-none-none,2,100,1,600,600884,1001
list-none-none,4,2,1,24,113595,4733
list-none-none,4,4,1,48,105420,2196
list-none-none,4,8,1,96,125251,1304
list-none-none,4,10,1,120,114090,950
list-none-none,8,1,1,24,329491,13728
list-none-none,8,2,1,48,246055,5126
list-none-none,8,4,1,96,246979,2572
list-none-none,8,8,1,192,223527,1164
list-none-none,8,16,1,384,256140,667
list-none-none,12,2,1,72,308493,4284
list-none-none,12,4,1,144,315623,2191
list-d-none,2,1,1,6,65898,10983
list-il-none,2,1,1,6,138572,23095
list-dl-none,2,1,1,6,119075,19845
list-dl-none,2,2,1,12,77541,6461
list-i-none,2,4,1,24,116244,4843
list-d-none,2,4,1,24,100554,4189
list-il-none,2,4,1,24,106837,4451
list-dl-none,2,4,1,24,136929,5705
list-d-none,2,8,1,48,99067,2063
list-il-none,2,8,1,48,141480,2947
list-i-none,2,10,1,60,129229,2153
list-d-none,2,10,1,60,108283,1804
list-il-none,2,10,1,60,121897,2031
list-dl-none,2,10,1,60,143007,2383
list-i-none,2,16,1,96,177664,1850
list-d-none,2,16,1,96,94454,983
list-il-none,2,16,1,96,86619,902
list-dl-none,2,16,1,96,85896,894
list-d-none,2,100,1,600,547283,912
list-dl-none,2,100,1,600,567366,945
list-dl-none,2,1000,1,6000,26058800,4343
list-i-none,4,1,1,12,169910,14159
list-d-none,4,1,1,12,96594,8049
list-i-none,4,2,1,24,110609,4608
list-d-none,4,2,1,24,101633,4234
list-il-none,4,2,1,24,100556,4189
list-dl-none,4,2,1,24,180317,7513
list-i-none,4,4,1,48,158119,3294
list-d-none,4,4,1,48,173842,3621
list-il-none,4,4,1,48,150097,3127
list-dl-none,4,4,1,48,189275,3943
list-il-none,4,8,1,96,128903,1342
list-i-none,4,10,1,120,154927,1291
list-d-none,4,10,1,120,119663,997
list-dl-none,4,10,1,120,106201,885
list-d-none,4,16,1,192,103837,540
list-i-none,8,1,1,24,242039,10084
list-d-none,8,1,1,24,193728,8072
list-il-none,8,1,1,24,212634,8859
list-dl-none,8,1,1,24,196595,8191
list-il-none,8,4,1,96,212595,2214
list-il-none,8,8,1,192,256004,1333
list-dl-none,8,8,1,192,231148,1203
list-il-none,8,10,1,240,1397011,5820
list-d-none,12,1,1,36,297911,8275
list-i-none,12,2,1,72,318636,4425
list-il-none,12,2,1,72,1623193,22544
list-d-none,12,4,1,144,360748,2505
list-i-none,12,8,1,288,364255,1264
list-dl-none,12,8,1,288,305213,1059
list-i-none,12,10,1,360,262443,729
list-d-none,12,10,1,360,283644,787
list-il-none,12,10,1,360,317977,883
list-dl-none,12,10,1,360,291946,810
list-i-m,2,1,1,6,162326,27054
