add-none,1,10,20,151376,7568,0
add-none,1,20,40,143425,3585,0
add-none,1,40,80,153064,1913,0
add-none,1,80,160,141021,881,0
add-none,1,100,200,153340,766,0
add-none,1,1000,2000,74978,37,0
add-none,1,10000,20000,253817,12,0
add-none,1,100000,200000,1588743,7,0
add-none,2,10,40,145458,3636,0
add-none,2,20,80,61843,773,0
add-none,2,40,160,162405,1015,0
add-none,2,80,320,117505,367,0
add-none,2,100,400,107805,269,0
add-none,2,1000,4000,143467,35,-178
add-none,2,10000,40000,545212,13,-166
add-none,2,100000,400000,4057769,10,39413
add-none,4,10,80,191394,2392,0
add-none,4,20,160,157283,983,0
add-none,4,40,320,162010,506,0
add-none,4,80,640,161528,252,0
add-none,4,100,800,158536,198,51
add-none,4,1000,8000,178679,22,260
add-none,4,10000,80000,1079163,13,-8871
add-none,4,100000,800000,9801878,12,-45158
add-none,8,10,160,210839,1317,0
add-none,8,20,320,235913,737,0
add-none,8,40,640,253845,396,0
add-none,8,80,1280,228282,178,0
add-none,8,100,1600,176854,110,0
add-none,8,1000,16000,291509,18,2053
add-none,8,10000,160000,1998616,12,-4134
add-none,8,100000,1600000,20325610,12,-35339
add-none,12,10,240,333392,1389,0
add-none,12,20,480,276844,576,0
add-none,12,40,960,307494,320,0
add-none,12,80,1920,287661,149,0
add-none,12,100,2400,319700,133,-8
add-none,12,1000,24000,364059,15,5010
add-none,12,10000,240000,2960368,12,-1529
add-none,12,100000,2400000,29419707,12,-23096
add-m,1,10,20,136700,6835,0
add-s,1,10,20,132347,6617,0
add-c,1,10,20,83560,4178,0
add-m,1,20,40,117773,2944,0
add-s,1,20,40,78323,1958,0
add-c,1,20,40,71385,1784,0
add-m,1,40,80,124385,1554,0
add-s,1,40,80,92749,1159,0
add-c,1,40,80,64856,810,0
add-m,1,80,160,137322,858,0
add-s,1,80,160,141014,881,0
add-c,1,80,160,90188,563,0
add-m,1,100,200,136303,681,0
add-s,1,100,200,168062,840,0
add-c,1,100,200,97299,486,0
add-m,1,1000,2000,159067,79,0
add-s,1,1000,2000,138137,69,0
add-c,1,1000,2000,145537,72,0
add-m,1,10000,20000,276194,13,0
add-s,1,10000,20000,195817,9,0
add-c,1,10000,20000,556844,27,0
add-m,1,100000,200000,1480463,7,0
add-s,1,100000,200000,1443659,7,0
add-c,1,100000,200000,4030067,20,0
add-m,2,10,40,127554,3188,0
add-s,2,10,40,90671,2266,0
add-c,2,10,40,133786,3344,0
add-m,2,20,80,111115,1388,0
add-s,2,20,80,63109,788,0
add-c,2,20,80,132503,1656,0
add-m,2,40,160,116754,729,0
add-s,2,40,160,913748,5710,0
add-c,2,40,160,125708,785,0
add-m,2,80,320,110972,346,0
add-s,2,80,320,119102,372,0
add-c,2,80,320,110056,343,0
add-m,2,100,400,108026,270,0
add-s,2,100,400,111995,279,0
add-c,2,100,400,112881,282,0
add-m,2,1000,4000,88436,22,0
add-s,2,1000,4000,83554,20,0
add-c,2,1000,4000,270946,67,0
add-m,2,10000,40000,300282,7,0
add-s,2,10000,40000,393096,9,0
add-c,2,10000,40000,1663511,41,0
add-m,2,100000,400000,2731351,6,0
add-s,2,100000,400000,2682963,6,0
add-c,2,100000,400000,17363783,43,0
